,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
113,new norfolk,100,AU,1600134179,61,-42.78,147.06,59.0,7.0
114,vodstroy,2,RU,1600134180,57,48.84,44.56,48.2,2.24
115,amalapuram,61,IN,1600134181,93,16.58,82.02,79.95,2.68
116,lubango,0,AO,1600134182,36,-14.92,13.49,57.38,2.77
117,chama,0,CH,1600134183,93,47.18,8.46,64.0,3.29
118,ondjiva,0,AO,1600134184,33,-17.07,15.73,59.74,6.31
119,xining,53,CN,1600134186,60,36.62,101.77,51.31,1.88
120,yumen,0,CN,1600134187,27,40.28,97.2,60.55,8.84
121,shimizu,75,JP,1600134188,87,43.01,142.88,59.0,1.12
122,cape town,9,ZA,1600134189,81,-33.93,18.42,44.6,3.36
123,vigia,76,BR,1600134190,83,-0.86,-48.14,80.6,12.75
124,mildura,0,AU,1600134191,45,-34.2,142.15,64.99,5.82
125,licheng,75,CN,1600134192,78,23.3,113.83,86.0,4.47
126,ixtapa,90,MX,1600134193,74,20.7,-105.2,86.0,3.36
127,saint anthony,1,US,1600134194,60,45.02,-93.22,73.4,10.29
128,salamiyah,0,SY,1600134196,71,35.01,37.05,65.25,3.42
129,butaritari,37,KI,1600134197,73,3.07,172.79,84.34,17.36
130,isangel,40,VU,1600134198,65,-19.55,169.27,80.6,16.11
131,airai,71,TL,1600134199,44,-8.93,125.41,72.93,6.71
132,luau,0,AO,1600134200,49,-10.71,22.22,69.17,2.33
133,nikolskoye,0,RU,1600134201,93,59.7,30.79,50.0,6.71
134,malanville,99,BJ,1600134202,85,11.87,3.39,75.27,8.48
135,rodrigues alves,49,BR,1600134204,96,-7.74,-72.65,73.02,3.56
136,saint george,1,US,1600133940,9,37.1,-113.58,95.0,13.87
137,panzhihua,100,CN,1600134206,90,26.59,101.71,69.01,1.59
138,lagoa,34,PT,1600134207,66,39.05,-27.98,66.09,17.2
139,belison,100,PH,1600134208,89,10.84,121.96,78.64,5.17
140,narathiwat,75,TH,1600134209,94,6.33,101.75,77.0,2.17
141,atuona,0,PF,1600134210,72,-9.8,-139.03,78.4,15.84
142,saskylakh,99,RU,1600134211,56,71.92,114.08,52.9,2.53
143,constitucion,0,CL,1600134112,79,-35.33,-72.42,53.37,2.64
